لری, فارسی
يه تي لپ گندم, به اندازه‌ي يك مشت گندم
تيله سگ  , توله سگ.
تيلي سگ , توله‌ي سگ
تيمار كردن, مرتب كردن
سرشه تيمار كه  , سرش را مرتب كرد
اسپه تيمار كه  , اسب را مرتب كرد
تا اَو حاضره تيموم باطله , با بودن آب تيمم كردن باطل است
جو مَشه دهت  , پيراهن خود را دوخت. 
تيه درومَدَه  , چشم درآمده
تيش اي­خنده , چشمش مي‌خندد
زر تيه داشتن, زير چشم داشتن
تيه نداره بوينش  , چشم ندارد او را ببيند
تيه نَه وش نه وَه گر , از او چشم برندار
تيي كور  , چشم كور
تيه تيه نَه ني بينه, چشم چشم را نمي‌بيند
کوگ مِنِ بال بزنم , کبک را موقع پرواز بزنم
دار بَلی تابوتُم , درخت بلوط تابوتم باشد
پَرِ دال بَهلِشتُمه, پر کرکس بالشم است
مُسلمونَل سَیل بکنید , ای مسلمان­ها نگاه کنید 
ظلمِش گِرونه, ظلم گران و ستمی بسیار سنگین است
اوسو که گُل وَ رَه اِیره , وقتی که محبوبه­ی زیباروی راه می­رود
آخر زمونه, قیامت است
ای گپ یهنی چه؟  , این سخن یعنی چه؟ 
یی قذر کار ای­کنه, این قدر کار می­کند.
ینی چه؟ , یعنی چه؟ 
یه هر یه دوله, پیوسته و بدون وقفه است
آدم یه دندی­یه  , آدم یک دنده­ای است
آدم یه دندی­یه  , آدم لجوجی است
یه چنه هرچه ای­جکی وش نی­رسی,  این چیست که هر چه می­دوی به آن نمی­رسی؟
یه تل غذی ایخره  , خیلی غذا می­خورد
یه تل غذی ایخره  , بسیار غذا می­خورد
یه چنه کُه ورقات کُه ورقات, این چیست کوه به ردیف کوه به ردیف 
یه بنکویی رهتن و کُه, دسته­ای از مردم به کوه رفتند
یه بنکویی رهت من مال, دسته­ای از مردم به روستا رفتند
یه چنه چن من چنه , این چیست چیزی در چیزی است
دونم چنه نونم چنه, می­دانم چه چیزی است؛ نمی­دانم چه چیزی است.
یه ای­گُ کِش وُ ای­گُ چو وهگه دش, این می­گوید کش او می­گوید چوب بردار بزنش
یه تیر دِ نشون  , یک تیر و دو نشان.
یه جون دِ قالبن  , یک جان و دو قالب­اند
یه جون دِ قالبن  , یک روح و دو قالب­اند
یه تیش خرسه یه تیش خينه, یک چشمش اشک است یک چشمش خون است
یه تیش خرسه یه تیش خينه, يک چشم او گریان و پر از اشک است یک چشم دیگرش پر ازخون
یه داره وِلییه  , یک درخت بی ثمری است
یه داره وِلییه  , یک هیکل خالی است
یه دمبی و دمبش نها , یک دمی به دمش گذاشت
یه دمبی و دمبش بهس,  یک دمی به دمش بست
یه دهس صدا نداره, یک دست صدا ندارد
یه رنگول ماس , یک مشک کوچک ماست 
یه ورجم ورجمی که, یک تکان و حرکتی به خود داد
یه پاش سر لو گوره , یک پایش بر لب گور ست
یه مال بار کنون  , به اندازه­ی یک بار کوچ کردن آبادی
یه مال بار کنون  , به اندازه­ی مسافت یک بار کوچ آبادی
یه لکی اومه سر تیم بی, یه چرتی بر روی چشمم بود 
یه لشینه حروم ای­کنه سی دهس چپی ,  یک لاشه­ی حیوان را برای طحالش حرام می­کند
یه قیلون چاق کنون , یک قلیان چاق کردن
یه قیلون چاق کنون , به اندازه­ی زمان یک قلیان چاق کردن
هر ولی یه قهسی ای­خونه,  هر بار یک آهنگ و ترانه­ای می­خواند
یه شو و در  , یک شب بیرون
یه قهسی بخون  , : یک آهنگ بخوان
یه دل یه جون  , یک دل و یک جان
یه پا و در یه پا و تو شالا بچت کری بو, یک پا به بیرون یک پا به داخل ان­شاءالله بچه­ات پسری باشد
یه پا و در یه پا و تو شالا بچت کری بو, nan
یه چال دیده و هیچ  , یک چال دیده است به هیچ
یه بویی و قیلونش ای­نُم, یک پکی به قلیانش می­زنم
یه تیت تمبکو  , کمی تنباکو
یه نور نون  , یک پشته نان
یه هرده مس  , یک هر دو مشت
یه هرده مس  , دو مشت از یک چیزی
یه روز و غوچی بهتره صد سال و میشی­یه, یک روز به قوچی بهتر از صد سال به میشی است
یه روز و غوچی بهتره صد سال و میشی­یه, یک روز قوچ بودن بهتر از صد سال میش بودن است
یه که در آدمه در عالمه, این که در آدم است در عالم است
یه که در آدمه در عالمه, هرچه در آدم است در عالم وجود دارد
یه کروس فشنگ  , یک جعبه فشنگ
یه روها يه رونه  , یک روز بله یک روز نه
یه روها يه رونه  , یک روز در میان
یه رو ها یه رو نه وم سر ای­زنه, یک روز درمیان به من سر می­زند
یه تل کار ای­کنه  , خیلی کار می­کند
یه خاگی دمشه تا ننش ول نی­کنه, یک تخمی دارد تا آن را نگذارد ول نمی­کند
بارون یه­شور ای­زنه, باران پیوسته می­بارد
بارون یه­شور ای­زنه, باران به شدّت می­بارد
و اندازی یه خیشه گا زمین وش داده,  به اندازه­ی یک خیش و گاو زمین به او داده است
و اندازی یه سر قیلون تمبکو بیشتر ندارم, . به اندازه­ی یک سر قلیان تنباکو بیشتر ندارم
یه سر قیلون , یک سر قلیان
یه وره  , پیوسته وراجی می­کند
آدم یه رویی­یه  , آدم یک رویی است
یه گوکی­یه  , یک پایی است
یه گوکی­یه  , می­لنگد
یه نفتی  , یک دماغی
یه دهس وابیدن  , یک دست شدن
یه دهس وابیدن  , هم دست شدن
یه مر اونه خه  , یک نفس آب را خورد.
یه دهس  , یک دست
یه لک سر تیم نومه, یک چرت به چشمم نیامد
یه مس برنج  , یک مشت برنج
یه مس برنج  , به اندازه­ی یک مشت برنج
ای تو یه چره  , بام این اتاق پیوسته در حال چکه کردن است
یه زون  , یک زبان
آدم یه پهلی  , آدم یک دنده.
یه چری سر گلونش بی رهتش,  یک کمی شیر در پستان داشت آن را ریخت
یه دون  , یک نیم روز
پل پلی پل مخملی پل پیتناده یه پلی من پهللت وهریچناده , . ای آن که گیسوهای بافته­ی نرم فراوان داری، يکی از گیسوهای بافته شده است  در ميان بقيه­ی آن ها   باز شده است
پل پلی پل مخملی پل پیتناده یه پلی من پهللت وهریچناده , ای گیسو دار گیسو مخملی، یک گیسویی در میان گیسوان تاب داده­ات باز شده است.
یه چری سر گلونشه, به اندازه­ی یک بار چکیدن، شیر در پستان دارد
یه چری سر گلونشه, کمی شیر در پستان دارد
یه چر  , به اندازه­ی یک بار چکیدن
یه تی لپ  , یک کف دست
یه تی لپ  , به اندازه­ی یک کف دست
یه شی کرده  , یک بار شوهر کرده است
یه پلی  , یک گیسویی
یه تفکه کنون  , یک آب دهان ریختن
یه تفکه کنون  , به اندازه یک تف بر زمین انداختن
یه پیمونه کار که , یک نواخت کار کرد
یه پرچ نون  , کمی نان
یه پرچ نون  , یک ذره­نان
یه هو  , یک هو
یه هو  , ناگهان
یه دون کار ای­کنه  , یک نیم روز کار می­کند
یه کلغی داره بری, یک شاخه­ی درخت را برید
یه ریز حرف ای­زنه  , یک ریز حرف می­زند
یه ریز حرف ای­زنه  , پیوسته سخن می­گوید
بی یک یه حالن  , با هم یک حال هستند
بی یک یه حالن  , با هم یک­رنگ­اند
بی یک یه حالن  , با هم صمیمی­اند
یه دهسی گرهتشه , یک دستی او را گرفته است
یه دهسی گرهتشه , دست پایین او  را گرفته است
یه دهسی کار ای­کنه  , یک دستی کار می­کند
یه دهسی کار ای­کنه  , با یک دست کار می­کند
یه ذره کار نی­کنه  , یک ذره کار نمی کند 
یه ذره کار نی­کنه  , اصلاً کار نمی­کند
یه ذری غذا خَه  , یک ذره غذا خورد
یه ذری غذا خَه  , مقدار کمی غذا خورد
یه لاغ علف نچی  , یک تار علف نچید
یه لاغ مل من پیشونیشه, یک تار مو در پیشانیش است
